,EARLWOOD WDR 1h average [°],EARLWOOD TEMP 1h average [°C],EARLWOOD WSP 1h average [m/s],EARLWOOD NO 1h average [pphm],EARLWOOD NO2 1h average [pphm],EARLWOOD OZONE 1h average [pphm],EARLWOOD OZONE 4h rolling average [pphm],EARLWOOD PM10 1h average [µg/m³],EARLWOOD PM2.5 1h average [µg/m³],EARLWOOD HUMID 1h average [%],EARLWOOD SD1 1h average [°]
EARLWOOD WDR 1h average [°],1.0,-0.4202414208646542,-0.12101163228291592,0.29942604351513585,0.31476324398692573,-0.35105461398463167,-0.3727265536204314,-0.09366244882027173,0.09771693363302791,0.03350099045547107,0.14202672651511591
EARLWOOD TEMP 1h average [°C],-0.4202414208646542,1.0,0.2813500348238415,-0.47841521025115596,-0.42089696926698206,0.6189187683181631,0.5725921707613711,0.15158774262799302,-0.1954262841554873,-0.2914812858301794,-0.21318465240265524
EARLWOOD WSP 1h average [m/s],-0.12101163228291592,0.2813500348238415,1.0,-0.33283405460073323,-0.4598720752858209,0.5396977266399289,0.47547907917874294,-0.1114428563464934,-0.2145075831696804,-0.5602829421319724,-0.6295011945043176
EARLWOOD NO 1h average [pphm],0.29942604351513585,-0.47841521025115596,-0.33283405460073323,1.0,0.5588012635649147,-0.5155268909804311,-0.5215529554531441,0.28798850084726624,0.4941047157683359,0.32400960814134877,0.2738365802539251
EARLWOOD NO2 1h average [pphm],0.31476324398692573,-0.42089696926698206,-0.4598720752858209,0.5588012635649147,1.0,-0.599612103223463,-0.514978375720215,0.2746917229146218,0.41228257207442687,0.16345770874366625,0.31691535361694856
EARLWOOD OZONE 1h average [pphm],-0.35105461398463167,0.6189187683181631,0.5396977266399289,-0.5155268909804311,-0.599612103223463,1.0,0.898760740629629,0.005144471866737595,-0.19420715203677014,-0.5946289210715013,-0.3468388192160771
EARLWOOD OZONE 4h rolling average [pphm],-0.3727265536204314,0.5725921707613711,0.47547907917874294,-0.5215529554531441,-0.514978375720215,0.898760740629629,1.0,0.05065395626535818,-0.2057408007167916,-0.5186289299925486,-0.3080842711295633
EARLWOOD PM10 1h average [µg/m³],-0.09366244882027173,0.15158774262799302,-0.1114428563464934,0.28798850084726624,0.2746917229146218,0.005144471866737595,0.05065395626535818,1.0,0.597985217883835,0.05948825295537737,0.10824117261801759
EARLWOOD PM2.5 1h average [µg/m³],0.09771693363302791,-0.1954262841554873,-0.2145075831696804,0.4941047157683359,0.41228257207442687,-0.19420715203677014,-0.2057408007167916,0.597985217883835,1.0,0.17727354179561852,0.17466258222089426
EARLWOOD HUMID 1h average [%],0.03350099045547107,-0.2914812858301794,-0.5602829421319724,0.32400960814134877,0.16345770874366625,-0.5946289210715013,-0.5186289299925486,0.05948825295537737,0.17727354179561852,1.0,0.3078806690552283
EARLWOOD SD1 1h average [°],0.14202672651511591,-0.21318465240265524,-0.6295011945043176,0.2738365802539251,0.31691535361694856,-0.3468388192160771,-0.3080842711295633,0.10824117261801759,0.17466258222089426,0.3078806690552283,1.0
